endereco|latitude|longitude
305 E 5th St. Austin, TX, EUA|30.266128|-97.7403547
|33.791638|-84.389488
242 W 2nd St. Austin, TX, EUA|30.2651039|-97.7461292
310 Willie Nelson Blvd. Austin, TX, EUA|30.26536399999999|-97.7472739
710 Red River St. Austin, TX, EUA|30.2680595|-97.7368537
79 Rainey St. Austin, TX, EUA|30.2588769|-97.7383814
705 Trinity . Austin, TX, EUA|30.268301|-97.73860099999999
86 Rainey St Austin, TX, EUA|30.2596756|-97.7386599
606 E 3rd St. Austin, TX, EUA|30.2204625|-97.7760515
512 San Jacinto St. Austin, TX, EUA|30.2670696|-97.7407154
610 E 6th St. Austin, TX, EUA|30.2665517|-97.73659909999999
500 Cesar Chavez, entrance at Cesar Chavez and Red River. Austin, TX, EUA|30.2642649|-97.7392938
500 E 5th St.  Austin, TX, EUA|30.265959|-97.738314
720 Brazos St. Austin, TX, EUA|30.2694462|-97.74106689999999
217 Congress Ave. Austin, TX, EUA|30.2649407|-97.7436259
525 E 6th St. Austin, TX, EUA|30.26629|-97.73750299999999
512 San Jacinto Blvd. Austin, TX, EUA|30.2670696|-97.7407154
201 E 6th St. Austin, TX, EUA|30.2673268|-97.7412883
69 Rainey St. Austin, TX, EUA|30.2580058|-97.7387209
204 E 6th St. Austin, TX, EUA|30.267722|-97.741123
615 Red River St. Austin, TX, EUA|30.2671738|-97.736684
401 E 6th St. Austin, TX, EUA|30.2667967|-97.73927259999999
3rd & Trinity. Austin, TX, EUA|30.2642785|-97.74035889999999
333 E 2nd st. Austin, TX, EUA|30.26319519999999|-97.74109729999999
801 Red River St. Austin, TX, EUA|30.2684579|-97.73617480000001
409 Colorado St. Austin, TX, EUA|30.266993|-97.74428019999999
515 S Pleasant Valley Rd. Austin, TX, EUA|30.2464427|-97.7139279
310 Colorado St.  Austin, TX, EUA|30.2662896|-97.74519269999999
605 Davis St. Austin, TX, EUA|30.2598906|-97.73903920000001
111 Congress Suite 700. Austin, TX, EUA|30.2635186|-97.74358
320 E 6th St. Austin, TX, EUA|30.2674455|-97.73956919999999
404 Colorado St. Austin, TX, EUA|30.2670001|-97.7449168
1502 E 6th St. Austin, TX, EUA|30.263413|-97.727159
508 E 6th St. Austin, TX, EUA|30.2669107|-97.7377236
2300 Rosewood Ave. Austin, TX, EUA|30.2710358|-97.714897
617 Congress Ave. Austin, TX, EUA|30.268585|-97.7422246
117 W 4th St. Austin, TX, EUA|30.2662488|-97.74459139999999
208 E 6th St. Austin, TX, EUA|30.2678607|-97.74096999999999
6th and San Jacinto. Austin, TX, EUA|30.2673868|-97.7404088
6259 Middle Fiskville Rd Austin, TX, EUA|30.325165|-97.708951
500 E Cesar Chavez Austin, TX, EUA|30.2642649|-97.7392938
611 E 7th St. Austin, TX, EUA|30.2670461|-97.7362776
307 E 5th St. Austin, TX, EUA|30.2659539|-97.7402698
 Austin, TX, EUA|30.267153|-97.7430608
412 Congress Ave. Austin, TX, EUA|30.2668465|-97.74372849999999
612 Brazos St. Austin, TX, EUA|30.2685042|-97.74142839999999
800 Congress Ave. Austin, TX, EUA|30.2702192|-97.74221879999999
98 San Jacinto Blvd. Austin, TX, EUA|30.2615215|-97.74175509999999
300 E 4th St. Austin, TX, EUA|30.2655533|-97.7402274
701 W Riverside Dr. Austin, TX, EUA|30.2602363|-97.7509082
718 Congress Ave. Austin, TX, EUA|30.2697732|-97.74271
346 Red River. Austin, TX, EUA|30.2642696|-97.73800039999999
311 E 5th St. Austin, TX, EUA|30.2659217|-97.7400576
301 W 2nd St. Austin, TX, EUA|30.2650449|-97.7471051
807 E 4th St Austin, TX, EUA|30.2635083|-97.7346683
2415 E 5th St Austin, TX, EUA|30.2578896|-97.71568789999999
88 Rainey St. Austin, TX, EUA|30.2599741|-97.7387633
323 E 6th St. Austin, TX, EUA|30.26687979999999|-97.7397606
92 Rainey St. Austin, TX, EUA|30.2605012|-97.7383708
500 Red River St. Austin, TX, EUA|30.2655649|-97.7375282
300 E 6th. Austin, TX, EUA|30.267582|-97.740155
310 Willie Nelson Blvd Ste 1A. Austin, TX, EUA|30.26536399999999|-97.7472739
700 E 6th St Austin, TX, EUA|30.2663066|-97.73586309999999
512 Trinity St. Austin, TX, EUA|30.2666157|-97.73962019999999
719 Congress Ave. Austin, TX, EUA|30.2695124|-97.7418188
409 E 5th St. Austin, TX, EUA|30.2656768|-97.7391251
Riverside Dr & S 1st St. Austin, TX, EUA|30.2597833|-97.7492891
81.5 Rainey St Austin, TX, EUA|30.260188|-97.73793599999999
400 Congress Ave. Austin, TX, EUA|30.2664806|-97.74385579999999
609 Davis St. Austin, TX, EUA|30.2600314|-97.7385511
77 Rainey St. Austin, TX, EUA|30.2587207|-97.73856169999999
705 Red River St. Austin, TX, EUA|30.2675715|-97.7365464
340 E 2nd St Austin, TX, EUA|30.2637689|-97.7408639
110 E 2nd St.  Austin, TX, EUA|30.2645713|-97.74319799999999
606 E 7th St. Austin, TX, EUA|30.2674328|-97.7360899
515 E 6th St. Austin, TX, EUA|30.266484|-97.7377449
900 Barton Springs Rd. Austin, TX, EUA|30.2606889|-97.7527899
1501 E 6th St. Austin, TX, EUA|30.2626754|-97.7275398
111 E Cesar Chavez Austin, TX, EUA|30.2626651|-97.74362239999999
701 Congress Ave. Austin, TX, EUA|30.2690545|-97.74198849999999
99 Trinity St. Austin, TX, EUA|30.2622392|-97.7411103
521 E 6th St. Austin, TX, EUA|30.26633|-97.7375726
310 E 5th ST. Austin, TX, EUA|30.2666201|-97.7403752
78 Rainey St . Austin, TX, EUA|30.2590234|-97.73893310000001
121 W 8th St. Austin, TX, EUA|30.2701169|-97.7433276
401 W 2nd St. Austin, TX, EUA|30.2651645|-97.74793009999999
114 Linden St . Austin, TX, EUA|30.2531428|-97.71069729999999
2324 E Cesar Chavez Austin, TX, EUA|30.2550902|-97.7182267
313 Red River St. Austin, TX, EUA|30.26409|-97.73786899999999
