id|evento|target|prioridade|mentoria|local|endereco|data|inicio|fim|latitude|longitude
1393|Let’s Prototype a Voice-Activated Interface|0.009009009009009009|0.009009009009009009|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|Mar 9, 2019|3:30pm|5:30pm|30.2666201|-97.7403752
1386|Build a Solar Panel Workshop - Group 1|0.018018018018018018|0.018018018018018018|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|Mar 9, 2019|12:30pm|2:00pm|30.2666201|-97.7403752
1440|Build a Movie Recommendation Engine in Python|0.02702702702702703|0.02702702702702703|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|Mar 12, 2019|3:30pm|6:00pm|30.2666201|-97.7403752
1428|Make Your First Android App with Machine Learning|0.036036036036036036|0.036036036036036036|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|Mar 11, 2019|3:30pm|5:30pm|30.2666201|-97.7403752
1726|Fintech Forward Download|0.04504504504504504|0.04504504504504504|0|Hilton Austin Downtown Austin Taco Project|500 E 4th St. Austin, TX, EUA|Mar 9, 2019|8:30am|11:00am|30.2650555|-97.73846970000001
1399|Designing APIs for Growth|0.05405405405405406|0.05405405405405406|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|Mar 10, 2019|11:00am|1:00pm|30.2666201|-97.7403752
1374|Better Living Through Twitter Apps & APIs|0.06306306306306306|0.06306306306306306|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|Mar 8, 2019|3:30pm|5:00pm|30.2666201|-97.7403752
1384|Prototyping for IoT with Arduino|0.07207207207207207|0.07207207207207207|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|Mar 9, 2019|9:30am|11:00am|30.2666201|-97.7403752
1389|Intro to Growth Engineering: Grow to Global Scale|0.08108108108108109|0.08108108108108109|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|Mar 9, 2019|12:30pm|2:00pm|30.2666201|-97.7403752
2143|Intrapreneurialism: Innovation in Organizations|0.09009009009009009|0.09009009009009009|0|Antone’s Capital One House|305 E 5th St. Austin, TX, EUA|Mar 9, 2019|9:30am|10:30am|30.266128000000002|-97.7403547
86|Making the Most of Your First SXSW|0.0990990990990991|0.0990990990990991|0|Austin Convention Center Room 16AB|500 E Cesar Chavez Austin, TX, EUA|Mar 8, 2019|5:00pm|6:00pm|30.264264899999997|-97.7392938
1757|SXSW Pitch: Enterprise and Smart Data Technology |0.10810810810810811|0.10810810810810811|0|Hilton Austin Downtown Salon DE|500 E 4th St. Austin, TX, EUA|Mar 9, 2019|12:30pm|1:30pm|30.2650555|-97.73846970000001
1700|SXSW Release It: Session 1|0.11711711711711711|0.11711711711711711|0|Hilton Austin Downtown Salon C|500 E 4th St. Austin, TX, EUA|Mar 8, 2019|11:00am|12:00pm|30.2650555|-97.73846970000001
1707|SXSW Release It: Session 2|0.12612612612612611|0.12612612612612611|0|Hilton Austin Downtown Salon C|500 E 4th St. Austin, TX, EUA|Mar 8, 2019|12:30pm|1:30pm|30.2650555|-97.73846970000001
179|ABC's of Independent Film Financing and Distribution||0.12882882882882882|0|Austin Convention Center Austin Suite|500 E Cesar Chavez Austin, TX, EUA|Mar 10, 2019|3:30pm|5:30pm|30.264264899999997|-97.7392938
1423|Build Your Own AR Prototype||0.13153153153153152|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|Mar 11, 2019|3:30pm|5:30pm|30.2666201|-97.7403752
83|UBERLAND: Algorithms and the Future of Work|0.13513513513513514|0.13513513513513514|0|Austin Convention Center Room 10AB|500 E Cesar Chavez Austin, TX, EUA|Mar 8, 2019|3:30pm|4:30pm|30.264264899999997|-97.7392938
986|Sung Kim (Amazon): Mentor||0.14234234234234236|1|JW Marriott Salon 8|110 E 2nd St. Austin, TX, EUA|Mar 10, 2019|2:00pm|3:15pm|30.2645713|-97.743198
1093|Cathy Hackl (You Are Here Labs): Mentor||0.14234234234234236|1|JW Marriott Salon 8|110 E 2nd St. Austin, TX, EUA|Mar 11, 2019|12:30pm|1:45pm|30.2645713|-97.743198
1723|PitchTexas: Graduate Startup Pitch Competition|0.14414414414414414|0.14414414414414414|0|Hilton Austin Downtown Salon J|500 E 4th St. Austin, TX, EUA|Mar 8, 2019|5:00pm|6:00pm|30.2650555|-97.73846970000001
968|Kelly McEuen (KMC Controls): Mentor||0.14774774774774774|1|JW Marriott Salon 8|110 E 2nd St. Austin, TX, EUA|Mar 10, 2019|12:30pm|1:45pm|30.2645713|-97.743198
