id|evento|target|prioridade|mentoria|local|endereco|data|inicio|fim|latitude|longitude
78|7 Non-Obvious Trends Changing The Future In 2019|0.05263157894736842|0.05263157894736842|0|Austin Convention Center Ballroom D|500 E Cesar Chavez Austin, TX, EUA|Mar 8, 2019|3:30pm|4:30pm|30.264264899999997|-97.7392938
209|Impacts of the 4th Industrial Revolution on Logistics|0.10526315789473684|0.10526315789473684|0|Austin Convention Center Trade Show - Discovery Stage - Exhibit Hall 2|500 E Cesar Chavez Austin, TX, EUA|Mar 11, 2019|11:00am|12:00pm|30.264264899999997|-97.7392938
1319|How the Future of VR & AR Will Be Unleashed Through Blockchain|0.15789473684210525|0.15789473684210525|0|JW Marriott Salon 1-2|110 E 2nd St. Austin, TX, EUA|Mar 13, 2019|3:30pm|4:30pm|30.2645713|-97.743198
2082|The Evolution of Work: Seven New Realities|0.21052631578947367|0.21052631578947367|0|Courtyard Marriott Rio Grande Ballroom|300 E 4th St. Austin, TX, EUA|Mar 8, 2019|3:30pm|4:30pm|30.2655533|-97.74022740000001
1998|The Future of AI in Blockchain|0.2631578947368421|0.2631578947368421|0|Hilton Austin Downtown Salon K|500 E 4th St. Austin, TX, EUA|Mar 14, 2019|3:30pm|4:30pm|30.2650555|-97.73846970000001
886|Gymnastics 2.0 and a New Era in Women's Sports||0.2736842105263158|0|JW Marriott Salon 3|110 E 2nd St. Austin, TX, EUA|Mar 9, 2019|12:30pm|1:30pm|30.2645713|-97.743198
168|Why Trend Predictions Suck (And How To Fix Them)||0.27894736842105256|0|Austin Convention Center Trade Show - Discovery Stage - Exhibit Hall 2|500 E Cesar Chavez Austin, TX, EUA|Mar 10, 2019|12:30pm|1:30pm|30.264264899999997|-97.7392938
1462|Inside Story of Building AI and Tech For Real Humans||0.28947368421052627|0|Fairmont Manchester AB|101 Red River. Austin, TX, EUA|Mar 8, 2019|12:30pm|1:30pm|30.26204559999999|-97.7381328
1691|In the Weeds of Cannabis Advertising||0.2894736842105263|0|Fairmont Congressional C|101 Red River. Austin, TX, EUA|Mar 14, 2019|2:00pm|3:00pm|30.26204559999999|-97.7381328
1661|Practical Machine Ethics and Implications for AI||0.2894736842105263|0|Fairmont Manchester EFG|101 Red River. Austin, TX, EUA|Mar 13, 2019|11:00am|12:00pm|30.26204559999999|-97.7381328
1925|The Future of Mobility is a Smart Device on Wheels||0.2947368421052632|0|Hilton Austin Downtown Salon F|500 E 4th St. Austin, TX, EUA|Mar 13, 2019|11:00am|12:00pm|30.2650555|-97.73846970000001
1507|Breaking Barriers: Science + Technology Meet Up||0.3|0|Fairmont Violet|101 Red River. Austin, TX, EUA|Mar 9, 2019|3:30pm|4:30pm|30.26204559999999|-97.7381328
112|How Books Are Fighting Back in the Digital Age||0.3|0|Austin Convention Center Ballroom F|500 E Cesar Chavez Austin, TX, EUA|Mar 9, 2019|12:30pm|1:30pm|30.264264899999997|-97.7392938
1923|The Developer, the Enterprise and Open Ecosystems||0.3052631578947368|0|Hilton Austin Downtown Salon J|500 E 4th St. Austin, TX, EUA|Mar 13, 2019|11:00am|12:00pm|30.2650555|-97.73846970000001
593|Connected Play: Gamifying the World Around Us||0.30526315789473685|0|Austin Convention Center Room 8C|500 E Cesar Chavez Austin, TX, EUA|Mar 15, 2019|3:30pm|4:30pm|30.264264899999997|-97.7392938
2795|Design Your Dream Job||0.3157894736842105|0|Palmer Events Center Room 4-5|900 Barton Springs Rd. Austin, TX, EUA|Mar 10, 2019|3:30pm|4:30pm|30.260688899999998|-97.75278990000001
