acesso,tipo
0.0,Interactive Tracks, Keynotes & Featured Speakers 	
0.0,Interactive Mentor Sessions & Workshops 	
0.0,Interactive Festival Events 	
0.0,Interactive Festival Opening Party 	
0.0,Convergence Tracks, Keynotes & Featured Speakers 	
0.0,Comedy Festival Showcases & Events 	
0.0,Trade Shows & Exhibitions 	
0.0,Networking Meet Ups 	
0.0,Access to Best Hotel Rates & Booking Assistance 	
0.0,Access to SXSW Social Online Registrant Networking 	
0.0,SXSW Festival Shuttles 	
0.5,Film Tracks, Keynotes & Featured Speakers 	
0.5,Film Festival Screenings & Events 	
0.5,Music Tracks, Keynotes & Featured Speakers 	
0.5,Music Festival Showcases & Events 	
1.0,Film Mentor Sessions, Round Tables, Workshops & Parties 	
1.0,Film Festival Exclusive Premieres 	
1.0,Music Mentor Sessions, Workshops & Parties 	
1.0,Music Festival Exclusive Showcases 	
1.0,Film Festival SXXpress Passes 	
1.0,Music Festival SXXpress Passes 	
1.0,Closing BBQ & Softball Tournament
