id|evento|target|prioridade|acesso|mentoria|local|endereco|dia|inicio|fim|latitude|longitude|resumo|duracao
1759|Conversational Design Sprint|0.005|0.005|0.0|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|10|11:00:00|13:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Great actions are a conversation. Conversational, natural language, interfaces are emerging as a powerful new way for people to interact with digital services. In order to design a natural user interface, we need to apply a human-centered design approach. Research by Stanford professor Clifford Nass shows that people converse with computers in much the same way as they do with humans. They are most successful when the interface is natural and conversational.  There’s a process for creating conversations. The Conversation Design Sprint teaches that process. This hands-on design sprint shows how to design and prototype a conversational experience using new Google Design Sprint methodologies. It presents the theory and principles of social interaction, crafting the personality and dialog of the conversational agent, the rapid prototyping of the conversation, and exploring how the conversation changes when it’s manifested on multimodal surfaces such as mobile and wearables. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1745|Prototyping for IoT with Arduino|0.005|0.005|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|9|09:30:00|11:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. The intersection of physical and digital products is exploding with opportunities, and designers today are expected to think beyond the screen to build rich experiences. One way to achieve this is by creating prototypes with both physical and digital interactions.  This workshop will introduce designers to prototyping for the Internet of Things (IoT) using Arduino, an open-source electronics platform. Kathryn will walk through examples of multi-modal prototyping from low to high fidelity, sharing her physical examples in person and digging into the research insights discovered through testing them. Attendees will then get their hands dirty by building their own circuit, with provided Arduinos, and learn just how easy it is to create interesting interactions with a few lines of code. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1785|Build Your Own AR Prototype|0.005|0.005|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|11|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Learn the fundamentals of designing for Augmented Reality and build your first project in under 3 hours. Huge has teamed up with wiARframe, Singapore's first AR prototyping platform, to offer a learning and building workshop that combines design insights with a hands-on session in which you will create and test your own AR project. Bring an open mind, laptop and one device with ARCore or ARKit and leave with a finished prototype and fresh perspective on creating your own engaging experiences.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1754|Let’s Prototype a Voice-Activated Interface|0.005|0.005|0.0|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|9|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. For all who love to create, experiment and learn, prototyping gives the opportunity to quickly iterate and test solutions; no matter the discipline. Join Senior Web Engineer Genki Hagata for an immersive workshop where attendees will prototype their own voice-activated interface and learn what goes into successful prototyping. In this session, attendees will build voice-activated interface prototypes as well and learn general approaches to quickly building functional prototypes that can be applied across disciplines. We will use the latest available speech recognition services to build voice recognition into a javascript application. You will leave with a functional app, along with the skills of how to build future voice interface apps, and best practices for prototyping.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1765|AI and the Threat to Democracy||0.14049999999999993|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|10|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. “Data is the new oil” “Facebook is farming our data” “Russia hacked our elections”. There’s no getting away from the zeitgeist that is data, how it is used, stolen and finessed to change the outcome of the very world we live in. In this hands-on workshop, we will demystify the technology that makes data valuable: Machine Learning, and how it relates to AI, influencing an election and the impact on cybersecurity. We will demystify the roots of AI and Machine Learning, the basic tenets of both and get the audience hands-on predicting an election to bring to life some of the many algorithms quants and data scientists have at their disposal. We’ll leave attendees with a look into the future of AI and Ethics and what we can all do to take control of our data-driven destinies. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1773|Fashion Hacking for Augmented Identity||0.17774999999999996|0.0|0|Westin Austin Downtown Paramount 3|310 E 5th ST. Austin, TX, EUA|11|09:30:00|11:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. As technology becomes more pervasive in our style choices, how can we think beyond simple customization or apps to truly own outward identity? In this workshop we will examine how artists and innovators are thinking beyond consumer wearables to larger identity issues that can be addressed by our choice of apparel and accessories. We will explore the ways the design community is expanding, hacking, and creating through open source technology. When the fashion and technology industries begin to collaborate, what opportunities do these open platforms create for the future of self expression? Participants will explore some of these ideas through customizing a wearable electronic project to augment their interactions with the world.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1805|Health Check: Diagnose Your Design Team's Culture||0.17799999999999996|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|12|15:30:00|17:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Whether we're designing in-house, at an agency, or consulting, dynamics across interdisciplinary teams are more complex than ever. Without intentional focus and maintenance, a healthy relationship between collaborators gives way to miscommunication and roadblocks. So, when was the last time you checked the pulse of your team's culture? Every team forms a culture, whether it's healthy, disengaged, or straight up toxic. When designing in a bubble isn't an option, we need to cultivate a vulnerable work environment to build trust and align around common goals. In this workshop, you'll gain tools to empower your team to take ownership of its culture. Come learn to assess cultural health, identify ingrained patterns, and strategize better ways to work together. Leave this workshop ready to lead your design team to interdisciplinary harmony, with the outcomes to prove it. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1794|Brand Transformation Manifested||0.17800000000000002|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|12|09:30:00|12:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. A powerful brand is an asset for any organization. That implies, being differentiated towards competition and relevant to customers. Today’s increasingly digital and fast pace world requires innovative methods to build and manage brands. Novel conditions or unforeseen circumstances can make it necessary to transform your brand.  Some examples:  - Brand lacks vitality or need to correct a bad/confusing image - Company changes strategic direction or want to expand  - Competition has significantly changed and affected your positioning  This interactive workshop will explore the process and core elements of driving a brand transformation from A to Z. Theory and case studies will be used in combination with group discussion to ensure an inspiring and engaging workshop. The case studies will include both B2B & B2C cases and how to take advantage of AI & data.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|180
1801|Protecting Our Peace Workshop||0.20299999999999996|0.0|0|Westin Austin Downtown Paramount 1|310 E 5th ST. Austin, TX, EUA|12|12:30:00|14:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. The REBEL + REST (R+R) Protecting Our Peace Workshop will offer psychological, sociological and cultural framework on the impact of racism, systemic oppression and the trauma of online brutality on mental wellness, particularly for Black activists. This workshop will reframe how we understand the ways that systemic racism affects our daily lives, the pitfalls of social media as a trigger and provide tools and resources that inspire holistic health and restoration. Participants will be invited to take part in active exercises that help us both individually and communally learn to resist, while protecting our peace.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1751|Nature's Boost for Attention in the Workplace||0.21599999999999991|0.0|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|9|12:30:00|14:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. We've evolved over millions of years to be a brilliantly social, visually guided, ecologically connected and imaginative species. The powerful levers that determine success of our efforts hinge on understanding and facilitating our evolved traits as human beings as well as learning from the millions of species that evolved alongside us. Biophilia speaks to the desires in every person to find complexity, refuge, mystery and delight in the environment to be part of a living ecosystem. Biomimicry is the practice of learning the tips and tricks from the natural world that have evolved over millions or billions of years, harnessing that genius and applying it to our own needs. This workshop will explore why the workplace is the new hotbed of innovation for both disciplines to converge.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
