id|evento|target|prioridade|acesso|mentoria|local|endereco|dia|inicio|fim|latitude|longitude|resumo
1754|Let’s Prototype a Voice-Activated Interface|0.04225352112676056|0.04225352112676056|0.0|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|9|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. For all who love to create, experiment and learn, prototyping gives the opportunity to quickly iterate and test solutions; no matter the discipline. Join Senior Web Engineer Genki Hagata for an immersive workshop where attendees will prototype their own voice-activated interface and learn what goes into successful prototyping. In this session, attendees will build voice-activated interface prototypes as well and learn general approaches to quickly building functional prototypes that can be applied across disciplines. We will use the latest available speech recognition services to build voice recognition into a javascript application. You will leave with a functional app, along with the skills of how to build future voice interface apps, and best practices for prototyping.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1790|Make Your First Android App with Machine Learning|0.11267605633802814|0.11267605633802814|0.0|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|11|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Make your first Android App during this hands-on-workshop! Learn the current best practices for modern Android development by creating an app from start to finish using Kotlin and Android Jetpack. You'll also learn how to use ML Kit, Google's machine learning platform for mobile developers.  This workshop assumes NO prior Android or machine learning experience. You should be comfortable programming in an object oriented language. Everything else will be covered during the workshop. Please bring your own laptop with Android Studio 3.3 or above installed. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1808|Thriving in the Gig-Economy|0.14084507042253522|0.14084507042253522|0.0|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|12|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. A study by Intuit predicted that by 2020, 40 percent of American workers would be independent contractors. Meaning nearly half of the workforce would be comprised of employees who are freelancers, contractors, or in temporary roles. Gone are the days of pension plans, professionals in 2019 need to develop professional brands that can survive and thrive in the gig-economy. Attendees of this session will be able participate in a dynamic workshop to discuss the state of the gig-economy and learn the ins and outs of developing a professional brand that will prepare them for their next career move.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1776|Period Power: Learning How to Embrace Your Cycle||0.14553990610328638|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|11|09:30:00|11:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. In today’s world of unprecedented stress, more women than ever are experiencing hormone imbalances that result in painful and irregular periods. Our society has normalized painful periods, when in fact they are not normal. As women it is our birthright to have pain-free periods. Our periods serve as a monthly report card evaluating our overall health. Today, the common solution to “cure” painful and irregular periods is with hormonal birth control which will only silence the symptoms instead of curing the root cause. When females learn how to harmonize with the natural rhythm of their cycles,they will experience a new type of body literacy which empowers them to operate at a higher vibration.This session explains how painful periods,PMS, and mood swings can and will be a thing of the past. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1759|Conversational Design Sprint||0.1596244131455399|0.0|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|10|11:00:00|13:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Great actions are a conversation. Conversational, natural language, interfaces are emerging as a powerful new way for people to interact with digital services. In order to design a natural user interface, we need to apply a human-centered design approach. Research by Stanford professor Clifford Nass shows that people converse with computers in much the same way as they do with humans. They are most successful when the interface is natural and conversational.  There’s a process for creating conversations. The Conversation Design Sprint teaches that process. This hands-on design sprint shows how to design and prototype a conversational experience using new Google Design Sprint methodologies. It presents the theory and principles of social interaction, crafting the personality and dialog of the conversational agent, the rapid prototyping of the conversation, and exploring how the conversation changes when it’s manifested on multimodal surfaces such as mobile and wearables. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
3707|Tech In On Your Wellness Routine||0.215962441314554|0.0|0|Palmer Events Center Wellness Expo Stage|900 Barton Springs Rd. Austin, TX, EUA|10|14:00:00|15:00:00|30.2606889|-97.7527899|Two things are captivating our society right now: a near-addiction to mobile technology and the state of wellness in our nation. How we leverage the former to cure the latter is not only a challenge, it’s a solution that will define our generation. Companies like MINDBODY, Amazon, Facebook, Instagram, Garmin and Strava have begun to integrate the discovery and booking of fitness classes and wellness experiences into some of the world’s most consumable apps. But to pivot our culture, leaders in tech, health and wellness must innovate further. By joining forces, we can shape the path to a personalized and accessible wellness journey. If we integrate future advances in mobile, AI, and machine learning technology to transform the way we care for ourselves, the future will be happier and healthier. This event is free and open to the public with a SXSW Guest Pass.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1655|Beyond Reality: Immersive Virtual Experiences||0.215962441314554|0.0|0|JW Marriott Salon 3-4|110 E 2nd St. Austin, TX, EUA|13|15:30:00|16:30:00|30.2645713|-97.743198|Have you ever fantasized about stepping inside your favorite story or an alternate reality? Now you can. A new wave of technological innovation and immersive experiences are redefining the future of entertainment by combining virtual adventures with physical environments and full sensory effects to bring consumers closer to characters and unimaginable places than ever before. In this session, join Curtis Hickman, professional illusionist turned location-based experience pioneer and co-founder of The VOID, and Brent Strong, Executive Creative Director of Walt Disney Imagineering, as they discuss the future of immersive storytelling and why both new and established companies are committed to delivering next-generation entertainment experiences. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1168|Show Me the Moneyline! A New Era in Sports and Media||0.22535211267605634|0.0|0|JW Marriott Salon 1-2|110 E 2nd St. Austin, TX, EUA|9|09:30:00|10:30:00|30.2645713|-97.743198|May 14, 2018, opened the door for a much-anticipated shift in the US sports landscape when the US Supreme Court deemed the Professional and Amateur Sports Protection Act of 1992 (PASPA) unconstitutional. This panel will gather representatives from the sports, media, and gaming industries to discuss the extent which the proliferation of legal sports betting will change the fan experience. Specifically, this panel will highlight changes that fans can expect as they watch their favorite sports content or attend live sports events. It will discuss issues including the extent that leagues and teams promote sports betting on their platforms and in their venues, and how much fans who do not want to be involved with sports betting should expect their sports consumption experiences to change.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1740|Yoga for the Wounded Heart||0.23943661971830985|0.0|0|Westin Austin Downtown Paramount 1|310 E 5th ST. Austin, TX, EUA|8|15:30:00|17:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Join philosopher, seasoned yoga instructor, and award-winning author Tatiana Forero Puerta in this two-hour workshop based on her book, Yoga for the Wounded Heart: A Philosophy, Practice, and Journey of Healing Emotional Pain (Lantern Books, 2018). Our emotional wounds can profoundly affect our daily lives, as well as our ability to forge connections with others and experience genuine freedom.  The practice of yoga can serve as a powerful tool for helping us heal some of our deepest heartbreaks, but few are familiar with the philosophical framework of this rich and ancient lineage. This workshop will utilize movement, lecture, group work, and concentration techniques to explore the theory and practical application of yogic tools that have the power to heal our precious hearts.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1811|Erasing Institutional Bias||0.244131455399061|0.0|0|Westin Austin Downtown Paramount 1|310 E 5th ST. Austin, TX, EUA|13|11:00:00|14:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Dr. Tiffany Jana and Ashley Diaz Mejias will work to help participants identify and address the systemic and institutional bias that results from pernicious and often unconscious biases to which we are all vulnerable. This session covers what systemic bias is, how it is perpetuated and how you, as an individual, can disrupt its mechanisms. Research and exercises in this session will help you challenge your assumptions and open up to encountering people, cultures, and ideas outside of your comfort zone. This session is based on their book, Erasing Institutional Bias: How to Create Systemic Change for Inclusive Organizations.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
