id|evento|target|prioridade|acesso|mentoria|local|endereco|dia|inicio|fim|latitude|longitude|resumo|duracao
1733|An Illustrated History of 1960's Hippie & Psychadelia Fashion||0.2676056338028169|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|8|11:00:00|13:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ready for part II of Vogue Vignette’s ‘Illustrated History of Fashion’ Series?  Last year focused on the futuristic fashion of the ‘60’s Mod Movement.  This year, we transition to the rise of the Hippie and Psychedelia Happening.  We’ll learn about the art, music, culture and politics that inspired one of the most notable periods in America’s fashion history. Once inspiration vibes are flowing, Fashion Artist, Stephanie Jimenez Schiller will teach you the ins and outs of sketching your own Hippie inspired Paper Doll.  From bell bottoms to flower crowns, the simple to follow Live Tutorials make it a breeze for all skill levels to sketch along.  So put on your best hippie inspired outfit and get ready to sketch, design and learn how Fashion is intertwined with the era it shares space with. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1143|Sports Betting is About to Change Sports Forever||0.3145539906103286|0.0|0|JW Marriott Salon 1-2|110 E 2nd St. Austin, TX, EUA|8|15:30:00|16:30:00|30.2645713|-97.743198|Americans like to bet on sports. Estimates are that 5% of us bet regularly creating an industry with revenues up to $400bn. But since 1992 sports betting was ILLEGAL in most states of the USA.  In May 2018 SCOTUS changed all that and said states can decide for themselves if sports betting is allowed. States have reacted quickly with 8 states legalising betting and 15 more in the process of regulating. Regulated, and transparent, betting will reveal previously hidden scandals. The money coming in will change how we consume and engage with sports. The media and advertising landscape will dramatically alter to the demands of sports betting. Sports will be more entertaining. Legalised betting will change professional and college sports nationwide forever. This panel will discuss all this.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1856|Hacker Heroes and Villains: Evolving Role in Media||0.3145539906103286|0.0|0|Fairmont Manchester AB|101 Red River. Austin, TX, EUA|8|17:00:00|18:00:00|30.2620456|-97.7381328|Hackers may fascinate and terrify us, but they might be the immune system of our digital society. While dependence on connected technology has grown faster than our ability to secure it, friendly hackers improve public safety, public policy, and save lives - through security research. Yet media portrayals of hackers lack authenticity and fidelity, focused on harmful behavior and motivations, instead of diverse narratives in the real hacker community. Hacking is a superpower: for good or for ill. Better media role models will create the hacker heroes we need. Real world hackers team with fictional counterparts to examine hacker roles in society vs media. The audience will understand who hackers really are, who they can be, and what drives them - and will distinguish myth from reality.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1168|Show Me the Moneyline! A New Era in Sports and Media||0.22535211267605634|0.0|0|JW Marriott Salon 1-2|110 E 2nd St. Austin, TX, EUA|9|09:30:00|10:30:00|30.2645713|-97.743198|May 14, 2018, opened the door for a much-anticipated shift in the US sports landscape when the US Supreme Court deemed the Professional and Amateur Sports Protection Act of 1992 (PASPA) unconstitutional. This panel will gather representatives from the sports, media, and gaming industries to discuss the extent which the proliferation of legal sports betting will change the fan experience. Specifically, this panel will highlight changes that fans can expect as they watch their favorite sports content or attend live sports events. It will discuss issues including the extent that leagues and teams promote sports betting on their platforms and in their venues, and how much fans who do not want to be involved with sports betting should expect their sports consumption experiences to change.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
2899|Global Mobility Partnerships and Making the Future||0.24882629107981225|0.0|0|The Refinery|612 Brazos St. Austin, TX, EUA|9|11:00:00|12:00:00|30.2685042|-97.7414284|Revolutionary changes may be on the horizon for the mobility sector, but it’s going to take equally revolutionary global collaborations to get there. This panel will examine the need for increased international cooperation as well as the opportunities that exist for those willing to work together. It will also touch on the ways Michigan will remain integral to the global automotive and mobility industry by reaching out to the world.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1747|Build a Solar Panel Workshop - Group 1|0.028169014084507043|0.028169014084507043|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|9|12:30:00|14:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wondered how solar technology works? In this workshop, you'll learn how to build a working solar panel that can charge a phone. We’ll take you through a step-by-step tutorial of attaching a 10 watt panel to a printed circuit board, battery, and stylish wooden frame. We’ll also chat about the history of solar panels, the latest trends in the industry, and the science behind harvesting the sun’s magical energy. Beginners welcome, no prior electronics experience necessary! Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1759|Conversational Design Sprint||0.1596244131455399|0.0|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|10|11:00:00|13:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Great actions are a conversation. Conversational, natural language, interfaces are emerging as a powerful new way for people to interact with digital services. In order to design a natural user interface, we need to apply a human-centered design approach. Research by Stanford professor Clifford Nass shows that people converse with computers in much the same way as they do with humans. They are most successful when the interface is natural and conversational.  There’s a process for creating conversations. The Conversation Design Sprint teaches that process. This hands-on design sprint shows how to design and prototype a conversational experience using new Google Design Sprint methodologies. It presents the theory and principles of social interaction, crafting the personality and dialog of the conversational agent, the rapid prototyping of the conversation, and exploring how the conversation changes when it’s manifested on multimodal surfaces such as mobile and wearables. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
3707|Tech In On Your Wellness Routine||0.215962441314554|0.0|0|Palmer Events Center Wellness Expo Stage|900 Barton Springs Rd. Austin, TX, EUA|10|14:00:00|15:00:00|30.2606889|-97.7527899|Two things are captivating our society right now: a near-addiction to mobile technology and the state of wellness in our nation. How we leverage the former to cure the latter is not only a challenge, it’s a solution that will define our generation. Companies like MINDBODY, Amazon, Facebook, Instagram, Garmin and Strava have begun to integrate the discovery and booking of fitness classes and wellness experiences into some of the world’s most consumable apps. But to pivot our culture, leaders in tech, health and wellness must innovate further. By joining forces, we can shape the path to a personalized and accessible wellness journey. If we integrate future advances in mobile, AI, and machine learning technology to transform the way we care for ourselves, the future will be happier and healthier. This event is free and open to the public with a SXSW Guest Pass.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1771|Your Privilege Is Showing||0.3568075117370892|0.0|0|Westin Austin Downtown Paramount 3|310 E 5th ST. Austin, TX, EUA|10|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. We know that society is unjust. As good people, we want to do something about that. Your Privilege Is Showing teaches people how to have these difficult conversations, but not everyone can wait for a curated experience. Now YPIS brings you an At Home edition. This session will give you the opportunity to enjoy the At Home game while learning about the wider range of impact that YPIS has. Come be part of one of the first public experiences of Your Privilege Is Showing At Home.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
3746|Sports Team||0.5586854460093896|0.5|0|British Music Embassy @ Latitude 30|512 San Jacinto St. Austin, TX, EUA|11|01:00:00|01:40:00|30.2670696|-97.7407154|Sports Team have spent the last year making good on the word-of-mouth hype bred from their early live performances and bolstered by the releases of January's Winter Nets EP and the standalone single 'Kutcher', one of the indie press' tracks of the year. Subscribing to the belief that a gig should be a show not just a showcase, the band's commitment to spectacle has seen them sell out shows across the capital with their biggest yet to come as they prepare for a, in their own words, “Robbie-Williams-at-Knebworth” level of performance at the Scala in September.    Following their sold out show at London’s 1000 capacity SCALA in September, and headline spots on the BBC Introducing stage at Reading & Leeds, Sports Team hit the road with The Magic Gang, before commencing an extensive UK and European tour with Hinds. Sports Team will headline Electric Ballroom in March 2019. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|40
1781|Integrating Google Firebase with a React Application||0.18309859154929573|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|11|12:30:00|15:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Facebook’s React.js has quickly become the most popular front-end library in the world of web development, and a very marketable skill for any modern front-end or full-stack web developer. In 2014 Google acquired Firebase, the legendary “Backend As a Service”. Google Firebase now offers an array of tools for mobile and web developers to quickly scale their products without having to worry about the tedious backend processes, while focusing on creating enhanced user experiences. As the popularity of React.js has grown, many developers have succeeded at pairing their React Apps with a Google Firebase backend.  Join General Assembly’s instructors for an interactive workshop as we walk you through integrating Google Firebase into a React App and explore the realtime database (one of it’s most popular features!).  Please note, this workshop is designed for people who have some experience building user interfaces with React.js, or has web development experience with a similar Javascript UI library like Angular or Vue. Requirements: - A laptop is required for this workshop. A Macbook is preferred, but not required. - Please install the create-react-app generator prior to class: https://github.com/facebook/create-react-app -This workshop is for junior web developers; some experience with React required.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|150
1997|Revamp Your Workplace Meet Up||0.4366197183098592|0.0|0|Fairmont Verbena|101 Red River. Austin, TX, EUA|11|15:30:00|16:30:00|30.2620456|-97.7381328|Revamp Your Workplace is a working session in the Meet Up format where you can share your biggest workforce challenges, and we will use our collective expertise to develop innovative solutions that will change the way you and your business work forever. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
