id|evento|target|prioridade|acesso|mentoria|local|endereco|dia|inicio|fim|latitude|longitude|resumo
1897|Creative Ways to Solve the Bias Problem in AI|0.014084507042253518|0.014084507042253518|0.0|0|Fairmont Manchester AB|101 Red River. Austin, TX, EUA|9|15:30:00|16:30:00|30.2620456|-97.7381328|"During the Facebook hearings in Congress, when asked how to solve the hate speech problem, CEO Mark Zuckerberg replied ""artificial intelligence (AI)."" But before we allow AI to solve our problems, we need to solve its' biggest problem first: bias. As AI continues to spread, countless examples of bias have risen: from racist facial recognition to the proliferation of sexist language, AI is far from perfect. Before we let the cold, mathematical calculations of AI tackle our difficult questions, we need to rethink its algorithms, how they are written, and even who writes them. Our expert panel from across the nonprofit, industry, and education sectors will discuss ways we can tackle algorithmic bias.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW."
2084|The New Science of Content: A Data Story|0.07042253521126761|0.07042253521126761|0.0|0|Fairmont Congressional A|101 Red River. Austin, TX, EUA|14|11:00:00|12:00:00|30.2620456|-97.7381328|Consumer attention and audience engagement is the new coin. Content creators need to evolve fast in order to catch the fast-moving trends and attract their target audience. Across this process, quantitative data is no longer enough to discover the best practices that will deliver the right experience to achieve brand goals. Synapbox and Google have come together to explore how biometric technologies can enable a new layer of data that could help marketers and advertisers understand the dynamics of consumer attention and behavioral patterns. From emotional performance to eye tracking, marketers are now able to have a precise lecture of engagement across platforms. We invite attendees to see key findings across the test of hundreds of ad videos and their performance with key audiences.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
2245|Fintech Forward Download|0.08450704225352113|0.08450704225352113|0.0|0|Hilton Austin Downtown Austin Taco Project|500 E 4th St. Austin, TX, EUA|11|08:30:00|11:00:00|30.2650555|-97.7384697|Join us for breakfast to learn about key rising trends, ideas and inspiration that will drive the Fintech space forward in the years to come. Hear from investors, entrepreneurs, and more applauded experts as they candidly discuss the innovative financial services helping people to increase their earnings, build safety nets, and improve their financial health on a global scale.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1758|Build a Solar Panel Workshop - Group 2||0.1126760563380282|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|10|11:00:00|12:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wondered how solar technology works? In this workshop, you'll learn how to build a working solar panel that can charge a phone. We’ll take you through a step-by-step tutorial of attaching a 10 watt panel to a printed circuit board, battery, and stylish wooden frame. We’ll also chat about the history of solar panels, the latest trends in the industry, and the science behind harvesting the sun’s magical energy. Beginners welcome, no prior electronics experience necessary! Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1803|Build a Movie Recommendation Engine in Python|0.0|0.13145539906103285|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|12|15:30:00|18:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wonder how Netflix made that recommendation that led you to binge watch Black Mirror all weekend? Are they mind readers or is it smart algorithms? Join General Assembly instructors for an interactive workshop where we will learn how recommendation engines work. This will involve a little bit of linear algebra. Don’t worry if you’re new to the subject! We’ll cover all the basics. We will then build a movie recommendation engine using pandas, scikit-learn and the famous MovieLens dataset. Requirements: - A laptop is required for this workshop with the latest version of Anaconda (Python 3.7) installed. You can download it for free here: https://www.anaconda.com/download/  - Attendees should have intermediate experience with coding in Python; must know how to start up a Jupyter Notebook; must be familiar with the pandas and scikit-learn libraries Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1810|Be the Blockchain: A Game Experience for Newcomers||0.1408450704225352|0.0|0|Westin Austin Downtown Paramount 3|310 E 5th ST. Austin, TX, EUA|13|11:00:00|14:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Blockchain technology, what is it and what impact will it have on your organization? It’s not too late to learn by doing. During the Blockchain Experience you will experience for yourself this disruptive technology and its potential. In this game, you and your fellow participants, are a node in the network. Together you constitute the network that builds a shared ‘ledger’ of transactions. You will experience how a blockchain is built and learn about the basic principles of this technology. Throughout the session we will touch on the impact of blockchain on current business models. At the end of the experience you will learn how to use the learnings on your own business or industry. Learn the basics of the technology by actively working with it. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1955|Wacko World and the Rise of Memelord Brands||0.14553990610328638|0.0|0|Fairmont Congressional B|101 Red River. Austin, TX, EUA|10|17:00:00|18:00:00|30.2620456|-97.7381328|The absurd and inexplicable have gone from social feeds directly into the boardroom — and back to the feed. Big business and internet culture are colliding like never before: Wendy’s dropped a diss track on Twitter, IKEA made an ASMR ad, and Arby’s + Warby Parker aligned for April Fool’s Day. We call this “Wacko World,” and think it’s one of the biggest creative opportunities today. Attention has become an elusive metric as marketers compete with Drake memes for views once guaranteed with a TV ad. This brave new world of “creative Darwinism” places new stress on marketers — and only the most interesting may survive. TBWA Backslash uncovers the economic impact of speaking meme and 3 strategies for companies, creators and individuals to consider when expressing one’s weirder side. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
3422|Elon Musk Keynote: The Frightening and Awful Future of Humanity||0.14553990610328638|0.0|0|Esther's Follies|525 E 6th St. Austin, TX, EUA|8|18:00:00|19:30:00|30.26629|-97.737503|Visionary interplanetary engineer and self-styled savior of humankind Elon Musk (James Adomian) will unveil his newest high-tech superproject live in Austin, TX. In his second-ever SXSW keynote address, the extremely online billionaire will detail his newest slate of world-saving endeavors from Tesla Motors, The Boring Company, SpaceX and his thousands of other companies. Behold in awe as Elon Musk* shares his insights on the exciting future of tech, social and other buzzwords. Before the eyes of world history, our greatest mind will inaugurate the dawn of the human nightmare and the acceleration of evolution through apocalypse. Ad astra per sanguinem! * May not actually be Elon Musk Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
1798|The Rebels’ Resistance Conversation||0.1596244131455399|0.0|0|Westin Austin Downtown Paramount 1|310 E 5th ST. Austin, TX, EUA|12|09:30:00|11:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. The Rebels' Resistance Conversation will invite highly-visible activists, mental health professionals and the Rebel+Rest co-founders to offer perspective, wisdom and tangible steps on combating the impact of racism, systemic oppression and the trauma of online brutality on mental wellness. Attendees will gain insight from lived experience, expertise and engagement from the perspective of local and national voices working to elevate important discourse around social-political resistance and community rejuvenation for communities of color. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
3677|ATX Wild Woman Project Circle: Tiny Revolutions||0.1596244131455399|0.0|0|Palmer Events Center Wellness Circles|900 Barton Springs Rd. Austin, TX, EUA|9|14:00:00|15:30:00|30.2606889|-97.7527899|In this circle we will reconnect to ourselves, set an intention, and leave with a new sense of purpose.  Circles are powered by the shared experience of women who support each other.  There is no advice giving- only open ears, minds and hearts. Your ATX circle leader Samantha Midler, has been hosting women circles since 2014.  She started them in Brooklyn, NY and moved them to Austin.  Her circles meet locally once a month.  Founded by Chris Maddox, The Wild Woman Project is at once a philosophy (an invigorating approach to life as a wondrous, often messy, creative project) & a growing movement of courageous, creative, heart centered women on a mission to remember, and to reimagine what it means to be a woman – untamed. Our mission:To awaken women to their most authentic, undomesticated nature, so they may feel like themselves, all the time, no apologies. This event is free and open to the public with a SXSW Guest Pass.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.
