address|latitude|longitude
515 S Pleasant Valley Rd. Austin, TX, EUA|30.2464427|-97.7139279
617 Red River. Austin, TX, EUA|30.2672528|-97.7366734
1502 E 6th St. Austin, TX, EUA|30.263413|-97.727159
71 Trinity St. Austin, TX, EUA|30.2620726|-97.7411692
220 S Congress Ave Austin, TX, EUA|30.2594163|-97.74629619999999
79 Rainey St. Austin, TX, EUA|30.2588769|-97.7383814
307 E 2nd St. Austin, TX, EUA|30.26323|-97.74126710000002
612 W 4th St. Austin, TX, EUA|30.2682524|-97.74986129999999
99 Trinity St. Austin, TX, EUA|30.2622392|-97.7411103
209 W 2nd St. Austin, TX, EUA|30.26455919999999|-97.74586110000001
400 Congress Ave. Austin, TX, EUA|30.2664806|-97.74385579999999
1325 S Congress Ave Austin, TX, EUA|30.250184|-97.74903359999999
410 E 6th St. Austin, TX, EUA|30.2671746|-97.73875269999999
416 Congress Ave.  Austin, TX, EUA|30.2669225|-97.74358
311 E 5th St. Austin, TX, EUA|30.2659217|-97.7400576
700 Congress Ave. Austin, TX, EUA|30.269273|-97.74283729999999
401 E 6th St. Austin, TX, EUA|30.2667967|-97.73927259999999
214 E 6th St. Austin, TX, EUA|30.2678099|-97.7406942
606 E 3rd St. Austin, TX, EUA|30.2636841|-97.73756449999999
6th and San Jacinto. Austin, TX, EUA|30.2673868|-97.7404088
308 Congress Ave Austin, TX, EUA|30.2657117|-97.7439832
84 Rainey St. Austin, TX, EUA|30.2595181|-97.7387103
525 E 6th St. Austin, TX, EUA|30.26629|-97.73750299999999
94 Rainey St. Austin, TX, EUA|30.2606735|-97.73829649999999
323 E 6th St. Austin, TX, EUA|30.26687979999999|-97.7397606
603 Red River St. Austin, TX, EUA|30.266722|-97.7369856
500 E 5th St.  Austin, TX, EUA|30.265959|-97.738314
411 W Monroe St Austin, TX, EUA|30.2487212|-97.75444519999999
400-B W 2nd St. Austin, TX, EUA|30.2656698|-97.7478443
305 E 5th St. Austin, TX, EUA|30.266128|-97.7403547
515 E 6th St. Austin, TX, EUA|30.266484|-97.7377449
5003 Burnet Rd Austin, TX, EUA|30.3211832|-97.73884819999999
114 Linden St . Austin, TX, EUA|30.2531428|-97.71069729999999
817 W 5th St. Austin, TX, EUA|30.2695968|-97.7530835
719 Congress Ave. Austin, TX, EUA|30.2695124|-97.7418188
713 Congress Ave. Austin, TX, EUA|30.2693519|-97.7418824
512 Trinity St. Austin, TX, EUA|30.2666157|-97.73962019999999
111 E Cesar Chavez Austin, TX, EUA|30.2626651|-97.74362239999999
701 Brazos St Austin, TX, EUA|30.2688755|-97.7405641
505 E 7th St. Austin, TX, EUA|30.2672791|-97.7375539
201 Colorado St Austin, TX, EUA|30.2647718|-97.7451078
90 Rainey St. Austin, TX, EUA|30.2603052|-97.7384663
409 Colorado St. Austin, TX, EUA|30.266993|-97.74428019999999
315 Congress Ave. Austin, TX, EUA|30.265609|-97.74307069999999
755 Springdale Rd. Austin, TX, EUA|30.2576|-97.7001279
88 1/2 Rainey St. Austin, TX, EUA|30.2599511|-97.7386326
612 Brazos St. Austin, TX, EUA|30.2685042|-97.74142839999999
714 Congress Ave. Suite 200 Austin, TX, EUA|30.26967429999999|-97.7426782
110 E 2nd St.  Austin, TX, EUA|30.2645713|-97.74319799999999
710 Red River St. Austin, TX, EUA|30.2680595|-97.7368537
202 S Lamar. Austin, TX, EUA|30.2639432|-97.75768959999999
307 E 5th St. Austin, TX, EUA|30.2659539|-97.7402698
217 Congress Ave. Austin, TX, EUA|30.2649407|-97.7436259
801 Red River St. Austin, TX, EUA|30.2684579|-97.73617480000001
617 E 7th St. Austin, TX, EUA|30.2669824|-97.7361323
207 San Jacinto Blvd. Austin, TX, EUA|30.2641917|-97.7412883
310 E 3rd St. Austin, TX, EUA|30.264574|-97.74050319999999
717 Red River. Austin, TX, EUA|30.2680442|-97.7362589
521 E 6th St. Austin, TX, EUA|30.26633|-97.7375726
96 Rainey St. Austin, TX, EUA|30.2608129|-97.7382116
3rd & Trinity. Austin, TX, EUA|30.2642785|-97.74035889999999
604 Brazos St. Austin, TX, EUA|30.2681502|-97.74175509999999
305 W 6th St. Austin, TX, EUA|30.2685934|-97.74561709999999
310 Willie Nelson Blvd. Austin, TX, EUA|30.26536399999999|-97.7472739
720 Red River St. Austin, TX, EUA|30.26828699999999|-97.73675999999999
718 Northwestern Ave. Austin, TX, EUA|30.2617482|-97.7147909
404 Colorado St. Austin, TX, EUA|30.2670001|-97.7449168
1323 S. Congress Ave. Austin, TX, EUA|30.25030509999999|-97.74921820000002
320 E 6th St. Austin, TX, EUA|30.2674455|-97.73956919999999
600 Congress Ave. Austin, TX, EUA|30.26863089999999|-97.7431606
611 E 7th St. Austin, TX, EUA|30.2670461|-97.7362776
1205 E Cesar Chavez St Austin, TX, EUA|30.2595492|-97.7323133
111 E Cesar Chavez St Austin, TX, EUA|30.2626651|-97.74362239999999
 Austin, TX, EUA|30.267153|-97.7430608
81.5 Rainey St Austin, TX, EUA|30.260188|-97.73793599999999
98 San Jacinto Blvd. Austin, TX, EUA|30.2615215|-97.74175509999999
711 1/2 Red River St. Austin, TX, EUA|30.2603929|-97.7393064
301 San Jacinto Blvd. Austin, TX, EUA|30.2647865|-97.7410761
500 Red River St. Austin, TX, EUA|30.2655649|-97.7375282
121 W 8th St. Austin, TX, EUA|30.2701169|-97.7433276
117 W 4th St. Austin, TX, EUA|30.2662488|-97.74459139999999
300 Lockwood Rd Austin, TX, EUA|30.3106253|-97.68574249999999
509 Rio Grande St Austin, TX, EUA|30.2695527|-97.74945810000001
206 E 4th St. Austin, TX, EUA|30.2659631|-97.74162779999999
204 E 6th St. Austin, TX, EUA|30.267722|-97.741123
86 Rainey St Austin, TX, EUA|30.2596756|-97.7386599
701 Congress Ave. Austin, TX, EUA|30.2690545|-97.74198849999999
720 Brazos St. Austin, TX, EUA|30.2694462|-97.74106689999999
310 Willie Nelson Blvd Ste 1A. Austin, TX, EUA|30.26536399999999|-97.7472739
320 E 2nd St Austin, TX, EUA|30.26375879999999|-97.7410337
401 Sabine St. Austin, TX, EUA|30.2645624|-97.7365355
