id|event|target|rank|access|is_mentor|place|address|day|start|end|latitude|longitude|abstract|duration
1731|How Beneficent Intention Can Help Eradicate Violence||0.365|0.0|0|Westin Austin Downtown Paramount 1|310 E 5th ST. Austin, TX, EUA|8|11:00:00|12:30:00|30.2666201|-97.7403752|"Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. In today’s interconnected world, reasons to experience fear are easily found with just a click of one’s remote, phone, or computer. Our perceptions of fear and threat from the mundane (“What! Who finished my ice cream!?”), to the life-threatening, are hard-wired defense responses, and are often involuntary, unconscious reactions.  In this fun and interactive aikido workshop, “Aiki Lab,” you will explore exercises that reveal your natural defenses, as well as offer embodiment skills for confidence-building, improved communication, and transcendence of fear.  Experience how utilizing ""beneficent intention"" can help overcome natural fear responses and create a peaceful outcome even in the face of unexpected fear/violence. Real real-life examples such as an individual who stopped a school shooting before it occurred will be discussed. Utilizing 30+ years of study and Aikido principals as taught by Morihei Ueshiba, Sensei Quakenbush discusses how peaceful communication practices and conflict resolution technologies like Aiki-Lab are imperative (both in daily life and globally) for human societies to survive, thrive, and evolve. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW."|90
1846|Inside Story of Building AI and Tech For Real Humans|50.0|0.25|0.0|0|Fairmont Manchester AB|101 Red River. Austin, TX, EUA|8|12:30:00|13:30:00|30.2620456|-97.7381328|We hear new breakthroughs in AI & tech everyday.  In the last few years alone we’ve heard about machines winning video games and even reaching human parity for speech, reading, object recognition, and translation in controlled tests.  But while we are excited about these advancements, we seldom hear about how we really got here and where do we think we can really go over the next few years. This panel will draw from experts who will share some of the untold stories of building assistants, personas, & AI.  What we learned from people in surprising places like Rap Battles in Central China, Favelas in Brazil, & hackers around the world. The cool ideas and the prototypes that didn’t work at all but did so in surprising, insightful and exciting ways that help us chart where AI will go next. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
2548|Do Good Data Science: Scoping Projects for Impact|50.0|0.25|0.0|0|The LINE Onyx Ballroom 1|111 E Cesar Chavez Austin, TX, EUA|8|15:30:00|16:30:00|30.2626651|-97.7436224|Data touches nearly every aspect of our lives, from the movies that we enjoy, to how we get to work each day. Companies like Amazon and Google have leveraged data to maximize their profits, while nonprofits and NGOs have languished in leveraging the same techniques to maximize their impact. In this session, Jake Porway, ex-NYTimes R&D Lab data scientist and Founder/ED of DataKind, will explore how to: ·         Scope & design data science projects for-impact vs. for-profit ·         Identify a data problem, assess staff capacities to address it ·         Define & measure success in these deploymentsProgramming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
2131|PitchTexas: Graduate Startup Pitch Competition||0.338|0.0|0|Hilton Austin Downtown Salon J|500 E 4th St. Austin, TX, EUA|8|17:00:00|18:00:00|30.2650555|-97.7384697|Best-in-class student-led startups from across the United States will compete live on stage to win over entrepreneur & venture capitalist judges for cash prizes, bragging rights, and a chance to impress and inspire the SXSW crowd.  Startups are leveraging the cutting edge in terms of technology, offering solutions build with AI, block chain, and cloud computing. Previous year's contestants come from a wide variety of industries, including medical devices, fin-tech, and CPG.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1745|Prototyping for IoT with Arduino|1.0|0.005|0.0|0|Westin Austin Downtown Continental 1|310 E 5th ST. Austin, TX, EUA|9|09:30:00|11:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. The intersection of physical and digital products is exploding with opportunities, and designers today are expected to think beyond the screen to build rich experiences. One way to achieve this is by creating prototypes with both physical and digital interactions.  This workshop will introduce designers to prototyping for the Internet of Things (IoT) using Arduino, an open-source electronics platform. Kathryn will walk through examples of multi-modal prototyping from low to high fidelity, sharing her physical examples in person and digging into the research insights discovered through testing them. Attendees will then get their hands dirty by building their own circuit, with provided Arduinos, and learn just how easy it is to create interesting interactions with a few lines of code. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
2170|SXSW Pitch: Enterprise and Smart Data Technology|50.0|0.25|0.0|0|Hilton Austin Downtown Salon DE|500 E 4th St. Austin, TX, EUA|9|12:30:00|13:30:00|30.2650555|-97.7384697|SXSW Pitch is a platform to allow early stage technology startups to pitch their product and/or services to industry technology experts, high profiled media personnel, and Venture Capitalists / Angel Investors. Five companies will dazzle a live audience, panel of judges with their ideas, innovations, product and/or service on Saturday, March 9th in Salon DE on the 4th floor of the Hilton Hotel. We will announce the winner of the Enterprise and Smart Data Technologies category at the SXSW Pitch Awards Ceremony on Sunday, March 10th at 6:30pm in Salon H on the 6th floor of the Hilton Hotel. Enterprise and Smart DataTechnologies and applications that are reinventing the ways in which we learn, relax and enjoy our time. Examples of included sectors include (but are not limited to) gaming, music, film, television, video, news and publishing, streaming and digital storytelling, as well as new and hybrid forms of entertainment. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
3680|Intro to Javascript|50.0|0.25|0.0|0|Palmer Events Center Room 1-2|900 Barton Springs Rd. Austin, TX, EUA|9|14:00:00|15:00:00|30.2606889|-97.7527899|Join us for this workshop on the JavaScript programming language aimed at beginners with little or no prior experience. This workshop provides an introduction to the JavaScript programming language and fundamentals needed to create rich, professional, and relevant web applications. Take a crash course in JavaScript and it's relationship to HTML and CSS. Takeaways 1) Overview of the landscape and its role in the web ecosystem 2) Understand the role of the web browser and where JavaScript fits in 3) Define the role of HTML, CSS, and JavaScript in web pages and web applications 4) Understand programming fundamentals using JavaScript: basic data types, arithmetic, conditional statements, iteration (loops), functions, arrays and objects Preparation Please bring a laptop. Basic HTML experience may be helpful, but is not necessary. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1754|Let’s Prototype a Voice-Activated Interface|1.0|0.005|0.0|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|9|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. For all who love to create, experiment and learn, prototyping gives the opportunity to quickly iterate and test solutions; no matter the discipline. Join Senior Web Engineer Genki Hagata for an immersive workshop where attendees will prototype their own voice-activated interface and learn what goes into successful prototyping. In this session, attendees will build voice-activated interface prototypes as well and learn general approaches to quickly building functional prototypes that can be applied across disciplines. We will use the latest available speech recognition services to build voice recognition into a javascript application. You will leave with a functional app, along with the skills of how to build future voice interface apps, and best practices for prototyping.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
3691|How to Build a 6-Figure Consulting Business||0.37625|0.0|0|Palmer Events Center Room 1-2|900 Barton Springs Rd. Austin, TX, EUA|10|09:30:00|10:30:00|30.2606889|-97.7527899|Have you considered, or are currently making money from your knowledge and experiences? Would you like more control over your finances and schedule by finding the best way to monetizing your background? It doesn't matter if you haven’t started, or have a business already, this online workshop is all about getting paid well for being your skills. Discover how you can design a business around your life, as opposed to designing your life around your business. Takeaways 1) Discover the 7 ways experts are making money from their experiences and decide on the best pathway for you. 2) Discuss ways to generating leads and signing clients. 3) Learn why most people fail in building a six-figure+ coaching or consulting business and the activities you must take to cross the six-figure hump. 4) Walk away with a library of tools, apps and additional resources to continue the momentum going forward Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1760|Designing APIs for Growth|1.0|0.005|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|10|11:00:00|13:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. APIs are the building blocks that allow interoperability for major business platforms on the web. More and more, APIs are a key component of scalable and successful internet companies. In the first half of this workshop, we will review the business case for APIs, present a case study, and have participants design and evolve their own API. In the second half, participants will learn how to build a developer ecosystem for their APIs.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
