id|event|target|rank|access|is_mentor|place|address|day|start|end|latitude|longitude|abstract|duration
1095|AI Creates Cashless Cities and a Borderless World|50.0|0.25|0.0|0|JW Marriott Salon 5|110 E 2nd St. Austin, TX, EUA|8|11:00:00|12:00:00|30.2645713|-97.743198|Ant Financial is using AII (Artificial Intelligence Integration) to provide equal opportunities to hundreds of millions of users in China. This AII is not only helping to build cashless cities but also to create a borderless world in which more users can easily leverage services that are previously exclusive and unimaginable. Learn how this cashless system has changed day-to-day life in the Far East. Also, learn how these advances in AII technology will eventually transform payment ecosystems in other parts of the globe and make for a more connected human race.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1044|Scaling AI for the Future Workforce|50.0|0.25|0.0|0|Antone’s Capital One House|305 E 5th St. Austin, TX, EUA|8|12:30:00|13:30:00|30.266128|-97.7403547|AI will undoubtedly impact tomorrow’s workforce; the biggest changes will likely come not in the replacement of humans, but how they work. Current estimates predict that 47% of U.S. job tasks will be at risk of becoming automated over the next decade, but over 2.3 million new jobs will also be created. Discover how forward-leaning organizations are harnessing emerging technology to keep humans--and our communities--at the forefront of socioeconomic development as we enter a new AI-driven era. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1735|Better Living Through Twitter Apps & APIs|50.0|0.25|0.0|0|Westin Austin Downtown The Gallery Room|310 E 5th ST. Austin, TX, EUA|8|15:30:00|17:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Imagine a future without parking tickets and finding ski slopes that always have fresh powder. If you could dream up a happier life what would you do first? Learn how Twitter Developer Advocates employed the Twitter APIs to solve some of life's common challenges. After this workshop, you'll leave empowered to build your own path to happiness with Twitter Data.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1856|Hacker Heroes and Villains: Evolving Role in Media|50.0|0.25|0.0|0|Fairmont Manchester AB|101 Red River. Austin, TX, EUA|8|17:00:00|18:00:00|30.2620456|-97.7381328|Hackers may fascinate and terrify us, but they might be the immune system of our digital society. While dependence on connected technology has grown faster than our ability to secure it, friendly hackers improve public safety, public policy, and save lives - through security research. Yet media portrayals of hackers lack authenticity and fidelity, focused on harmful behavior and motivations, instead of diverse narratives in the real hacker community. Hacking is a superpower: for good or for ill. Better media role models will create the hacker heroes we need. Real world hackers team with fictional counterparts to examine hacker roles in society vs media. The audience will understand who hackers really are, who they can be, and what drives them - and will distinguish myth from reality.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1743|How to Start a Trend Forecasting Practice - Group 1|1.0|0.005|0.0|0|Westin Austin Downtown Paramount 3|310 E 5th ST. Austin, TX, EUA|9|09:30:00|11:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. In this interactive two-hour workshop we will describe what a business-innovation-based trend practice is, why it is important, and lead a hands-on, step-by-step process on how to create a trend practice for you and your team. The workshop will be broken into three components. In the first component we will explain what trend forecasting is, our methodology, the output and the key ingredients to start a trend practice of your own. For the second component, we will break into smaller groups to engage and put the trend methodology into practice. And finally the third component will be a larger group discussion of each groups' findings and how to put the findings together in a compelling way that is actionable and effective for your business. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1747|Build a Solar Panel Workshop - Group 1|1.0|0.005|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|9|12:30:00|14:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wondered how solar technology works? In this workshop, you'll learn how to build a working solar panel that can charge a phone. We’ll take you through a step-by-step tutorial of attaching a 10 watt panel to a printed circuit board, battery, and stylish wooden frame. We’ll also chat about the history of solar panels, the latest trends in the industry, and the science behind harvesting the sun’s magical energy. Beginners welcome, no prior electronics experience necessary! Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
2738|Ethics and AI: How to Plan for the Unpredictable|50.0|0.25|0.0|0|Courtyard Marriott Rio Grande Ballroom|300 E 4th St. Austin, TX, EUA|9|14:00:00|15:00:00|30.2655533|-97.7402274|AI is influencing our lives in powerful ways, but are we prepared to handle the unpredictability of tomorrow? This panel will discuss how the intersection of AI and ethics can help plan for the unknown. Speakers will highlight how a leader’s background in ethics can help AI stay beneficial, rather than a threat, to humanity. Panelists will bring unique perspectives from industry to academia that will empower participants to proactively build more transparent, explainable, and accountable AI systems. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1755|MindCraft: Controlling Drones With Your Mind|1.0|0.005|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|9|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. This session focuses on leveraging Brain-Computer Interface (BCI) devices and JavaScript to fly a retail drone. We will delve into the wealth of interaction models that BCI devices can offer for piloting drones as well as their limitations. This session aims to give a broad overview of the state of the BCI industry as we know. It is the goal of this session to empower participants to think outside the box of what it means to interact with an object and foster a desire in the participants to go out into the world and create impactful tools that will help grow our understanding of mind-controlled devices and interfaces. It is not required to have a deep understanding of how BCI devices work or a technical understanding beyond basic programming constructs.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1758|Build a Solar Panel Workshop - Group 2|1.0|0.005|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|10|11:00:00|12:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wondered how solar technology works? In this workshop, you'll learn how to build a working solar panel that can charge a phone. We’ll take you through a step-by-step tutorial of attaching a 10 watt panel to a printed circuit board, battery, and stylish wooden frame. We’ll also chat about the history of solar panels, the latest trends in the industry, and the science behind harvesting the sun’s magical energy. Beginners welcome, no prior electronics experience necessary! Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
2742|Artisanal AI: A Marriage of Tech and Human Touch|50.0|0.25|0.0|0|Courtyard Marriott Rio Grande Ballroom|300 E 4th St. Austin, TX, EUA|10|12:30:00|13:30:00|30.2655533|-97.7402274|The growth of AI systems will increase the capabilities of machines to produce flawless outputs, from manufactured goods to cultural products. A more flawless world could also be a world with less character and diversity, so rare items with a clear human provenance—such as the artisanal—will be most valuable and sought after. The human touch, especially when augmented by an AI system, will become especially valuable.    Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
