id|evento|target|prioridade|acesso|mentoria|local|endereco|dia|inicio|fim|latitude|longitude|resumo|duracao
1803|Build a Movie Recommendation Engine in Python|0.005|0.005|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|12|15:30:00|18:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wonder how Netflix made that recommendation that led you to binge watch Black Mirror all weekend? Are they mind readers or is it smart algorithms? Join General Assembly instructors for an interactive workshop where we will learn how recommendation engines work. This will involve a little bit of linear algebra. Don’t worry if you’re new to the subject! We’ll cover all the basics. We will then build a movie recommendation engine using pandas, scikit-learn and the famous MovieLens dataset. Requirements: - A laptop is required for this workshop with the latest version of Anaconda (Python 3.7) installed. You can download it for free here: https://www.anaconda.com/download/  - Attendees should have intermediate experience with coding in Python; must know how to start up a Jupyter Notebook; must be familiar with the pandas and scikit-learn libraries Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|150
1815|Create Your Own Bitcoin with Black Girls CODE! - Group 2|0.005|0.005|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|13|16:30:00|18:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Black Girls CODE Tech Divas will lead a workshop introducing attendees to the basics of blockchain technology and cryptocurrency. Attendees will learn what a blockchain is, how it works, and what some concrete examples of working blockchain technologies today are. In addition, attendees will get to experience working applications that leverage blockchain technology in an effort to expose them to potential ideas they can build upon and or recreate to learn more!Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1812|Create Your Own Bitcoin with Black Girls CODE! - Group 1|0.005|0.005|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|13|14:30:00|16:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Black Girls CODE Tech Divas will lead a workshop introducing attendees to the basics of blockchain technology and cryptocurrency. Attendees will learn what a blockchain is, how it works, and what some concrete examples of working blockchain technologies today are. In addition, attendees will get to experience working applications that leverage blockchain technology in an effort to expose them to potential ideas they can build upon and or recreate to learn more!Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1743|How to Start a Trend Forecasting Practice - Group 1|0.005|0.005|0.0|0|Westin Austin Downtown Paramount 3|310 E 5th ST. Austin, TX, EUA|9|09:30:00|11:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. In this interactive two-hour workshop we will describe what a business-innovation-based trend practice is, why it is important, and lead a hands-on, step-by-step process on how to create a trend practice for you and your team. The workshop will be broken into three components. In the first component we will explain what trend forecasting is, our methodology, the output and the key ingredients to start a trend practice of your own. For the second component, we will break into smaller groups to engage and put the trend methodology into practice. And finally the third component will be a larger group discussion of each groups' findings and how to put the findings together in a compelling way that is actionable and effective for your business. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1758|Build a Solar Panel Workshop - Group 2|0.005|0.005|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|10|11:00:00|12:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wondered how solar technology works? In this workshop, you'll learn how to build a working solar panel that can charge a phone. We’ll take you through a step-by-step tutorial of attaching a 10 watt panel to a printed circuit board, battery, and stylish wooden frame. We’ll also chat about the history of solar panels, the latest trends in the industry, and the science behind harvesting the sun’s magical energy. Beginners welcome, no prior electronics experience necessary! Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
2281|The Alchemy and Science of Metrics|0.005|0.005|0.0|0|Hilton Austin Downtown Salon G|500 E 4th St. Austin, TX, EUA|11|15:30:00|16:30:00|30.2650555|-97.7384697|Quantitative measurement is the key to scaling businesses, processes, and products and making them better. It sounds easy: just pick a number and improve it. However, actually choosing a metric is an exploration of a many-dimensional space with no map and no guide. Until now. Learn how to choose the right metrics so you can build a better product and a better business. In the 13 years of Indeed’s existence, the company’s strategy has evolved considerably. What has remained constant is a dedication to making decisions based on evidence. Sometimes Indeed chose metrics wisely; sometimes Indeed chose metrics poorly. From these experiences, Ketan has derived a body of knowledge and a set of principles that can help others find the best metrics for their products and businesses. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|60
1755|MindCraft: Controlling Drones With Your Mind|0.005|0.005|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|9|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. This session focuses on leveraging Brain-Computer Interface (BCI) devices and JavaScript to fly a retail drone. We will delve into the wealth of interaction models that BCI devices can offer for piloting drones as well as their limitations. This session aims to give a broad overview of the state of the BCI industry as we know. It is the goal of this session to empower participants to think outside the box of what it means to interact with an object and foster a desire in the participants to go out into the world and create impactful tools that will help grow our understanding of mind-controlled devices and interfaces. It is not required to have a deep understanding of how BCI devices work or a technical understanding beyond basic programming constructs.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
1797|Making Daily Song Plays Datasets For Music Labels|0.005|0.005|0.0|0|Westin Austin Downtown Continental 3|310 E 5th ST. Austin, TX, EUA|12|09:30:00|12:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Every day we generate and deliver datasets to each of the major record labels. Each dataset will describe in structured detail every single song spin that occurred that day on Pandora to which that label has rights.  This includes information on the user that played the song, title, lead artist, how the song play was triggered within the app, exact timestamp of play and other valuable information. Generating and delivering these event-level datasets involves many sequential and intricate, pipelined steps. Delivering these massive files every 24 hours has not been possible over the last 5-10 years, until now. This workshop will cover exactly how we automated every step of the workflow, as well as how we generate the datasets and validate them using Apache Spark and Hive.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|180
1747|Build a Solar Panel Workshop - Group 1|0.005|0.005|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|9|12:30:00|14:00:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Ever wondered how solar technology works? In this workshop, you'll learn how to build a working solar panel that can charge a phone. We’ll take you through a step-by-step tutorial of attaching a 10 watt panel to a printed circuit board, battery, and stylish wooden frame. We’ll also chat about the history of solar panels, the latest trends in the industry, and the science behind harvesting the sun’s magical energy. Beginners welcome, no prior electronics experience necessary! Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|90
1778|Use Computer Code to Grow a Farm|0.005|0.005|0.0|0|Westin Austin Downtown Continental 2|310 E 5th ST. Austin, TX, EUA|11|09:30:00|12:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Learn the basics of physical computing, open source, and Raspberry Pi (a $35, hackable, palm-sized computer) and how to incorporate this into civic tech solutions for urban agriculture and other food systems challenges. We’ll spend the first half of the session learning how to set up, work with, and write Python computer code to automate everyday objects with Raspberry Pi. Then, we’ll build on those skills by constructing mini, computer-controlled, hydroponic indoor gardens and learn how urban farmers are scaling similar models in cities around the world. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|180
1769|Privacy by Design and by Directive||0.11574999999999995|0.0|0|Westin Austin Downtown Paramount 2|310 E 5th ST. Austin, TX, EUA|10|15:30:00|17:30:00|30.2666201|-97.7403752|Advance RSVP is available to Primary Entry badge types only. Walk-ups may be accepted on a first come, first served basis. Learn what CCPA and GDPR mean for your business, and how to build in the required safeguards for the personal info you process--even when you may not realize you are processing it. (*Spoiler alert--IP addresses and device IDs qualify.) Join tech-savvy privacy mavens for an interactive workshop that equips you with the processes and strategies to navigate the evolving privacy landscape. Note: Presenters are not speaking on behalf of, or about, Whole Foods Market, Amazon, Kargo, or WSP Global.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.|120
